text,label
" ok, if you have stopped taking Lamictal, give 90 mg per week.",0
Novartis announces that secukinumab (AIN457) has demonstrated superiority over Enbrel® in a direct phase III psoriasis study...,0
"“I've been crrying all night; now you're disembodied and sobbing all damn day, ghost? ”
• EFFEXOR XR® ABANDONMENT SYNDROME IS NOT EXACTLY HEAVEN, ANGEL",1
"Not that anyone noticed, but my #ambienwithdrawl only lasted a few days. Why? Because I still have a script. I need it while I'm on Levaquin.",1
 Eeeek. I just threw my Victoza in the trash can. I am taking my risk with diabetes #diabetes,0
At the Cyprus art and archaeology exhibition at  I love the cypro-archaic bird jugs! I've never seen anything like it before.,0
Some fantastic talks at this year's #PRIMO17. Many new work on the effects of fluoxetine in the aquatic environment #prozac #Antidepressants,0
I made my appointment for Humira on June 13. I've done well with biologics (remicade) before - hopefully again. :-),0
"(pd. Sertraline vs fluoxetine, make your bet)",0
   You don't even know what we do for you. Maaaad.,0
 I take Seroquel on the day want to be my friend must answer me so I know I get free long distance calls,0
"RT  Finding out I'm allergic to fluoxetine came as a bit of a shock. Mind you, only someone from Yorkshire could actually be allergic...",1
 you're happy! I need to make remicade infusions for my RA. I'd like to do Humera or Enbrel if it wouldn't stop me breathing,1
Worth knowing: Do you know which Meds R for Mania are? Currently #FDA approved: #quetiapine AKA #Seroquel,0
Denosumab solves mysteries of China's losses in favor of humanity Not to mention prostate nevus: .nat,0
"Go to the Gi consultant this week. Hope there's something else to try than Humira as it doesn't work, hair falls out too.",1
"The Pradaxa manufacturer confirmed reports of 260 cases of fatal bleeding worldwide that occurred over a three-year period. 1,888,520,5202.",0
" has not received a response to double and triple treatments. Exhausted the humor, Enbrel, and now about it. Recently taken unemployed",0
RT  Ann had a Tysabri infusion and interview/medical interview with ATOS regarding DLA. Guess which experience was the least joyful http:/...,0
trazodone. They gave it to my son as a sleep aid. Has any of these “drs” seen the latest research on antidepressants and bipolarity? #bipolar,0
Walk around the north side with a cooler full of humira syringes #crohnsproblems,0
 aw no please don't :(,0
I totally forgot to give myself an injection of Enbrel today... great... #fail,0
#Prozac come help please!,0
"RT  You register your business in Cipro, it's in Pretoria, I was in Zeerust at the time.",0
RT  Put things off until you have your vyvanse.,0
 I have some Prozac lol,0
I have such a headache that only nicotine can cure.,0
"I'm frustrated with video games and a 4.0 paper, thanks to my wear and tear from Vyvanse. goodnight",0
"NO, NOT ALWAYS   Do you always get side effects from fluoxetine?",0
No intravenous drugs Woop Woop only 2 weeks levofloxacin and minocycline tablets,0
"Wolf Blitzer gets the bullet: “Band member lost the cymbal during the national anthem” #SlowNewsDay 

Then they made a cymbalta joke. Sponsored?",0
 I desire your Bombay Sapphire... I can only afford a Lidl own brand right now. And I'm not allowed gin and prozac...,0
What kind of recording? Quetiapine or trazodone? RT  I hope these drugs work for my insomnia,0
"What happened to #MS is that Tysabri had a serious fatal side effect that the FDA pulled it, the patient outcry brought it back ",0
"Away from Paxil, back on Zoloft and cut off. I also cut off my klonopin. Move in the right direction. #progress #medtalk",0
This year's final was brought to you by Vyvanse.,0
RT    wow they are making me change from 8 tabs to injections... I can't bring Humira here unless the Welsh government says...,0
"So it seems that I'm one of those friends that you can write and say, hey, do you have Cipro left over? And I do. LOL",0
kinky ofloxacin,0
" How much do you charge for this medicine? Fascinated by the names, but less by the $$. #singlepayernow",0
alendronate +cholecalciferol = fosavance #Memorization,0
Zoledronic acid associated with an early increase in sclerostin levels: (HealthDay) — women with postmenopausal osteoporosis who have been diagnosed with zoledronic acid...,0
RT  New study suggests high-tech enbrel is no more effective than a generic cocktail for rheumatoid arthritis http://t.co/L...,0
You're the light at the end of my tunnel and the goblet for my Stanley. #Cymbalta,0
No definitive recommendation how/if #cardioversion can be done on apixaban - SH Hohnloser #ehraeuropace,0
"“Why is she so talkative, is she on Paxil? “ HAHAHAHAH",0
" Osteoporosis needs a cure. My mother suffered from it, and I have it myself. I take Prolia twice a year. Grateful for this option",0
" I have an idea for a TV show, with which company do I register my rights? Cipro, etc ",0
 puts a diamond in my mouth and feeds it to you BY KISSING,0
I hate being on Cipro when it's sunny #cfproblems #rashy,0
This #HUMIRA shot makes me feel like a normal person.. No pain no inflammation no nothingsGGGH #RAproblems,0
a cedar wood is a creeper: diamond-shaped but godless,0
Compston - Women who received alendronate for 5 years are less at risk of vertebral fracture if ALN lasts another 5 years ^CN #Rheum2013,0
" ah I take 600mg of quetiapine, but as an antipsychotic. I haven't heard from the other two. -Thank you.",0
"Hey, hipsters, didn't you hear that? Quetiapine is the new MDMA. #bipolarlifestylechoice",0
My father keeps saying that he needs Prozac for his ADD... I've reminded him four times that he means Adderall and he just can't understand it.,0
  Effexor works for my anxiety... no oooo weeee needed! Lol;),0
“ Bananas contain a natural chemical that can make a person happy - the same chemical found in Prozac.” not ,0
"the worst day of the week to forget my vyvanse... what do you know, I forgot my vyvanse. #todayisdoomed 😵",0
 “ Bananas contain a natural chemical that can make a person happy - the same chemical found in Prozac. ”,0
By the way  U no I understand the vyvanse life I took 70 and I went BAHAA,0
"My goodness, this Vyvanse makes me talk a mile a minute haha",1
Benefits of taking fluoxetine.. The caffeine tolerance is so low that I had 12 ounces of coffee and my hands are shaking so much that I can't clean the tubes.,0
" I think this is Tysabri. I've been told the same thing about Humira and Cimzia, so I'm not sure what's going to happen.",0
"RT  TIP: My 5-piece health package for distant countries: cipro (gut), zpak (chest), pepto (stomach), purell (germs), advil (hangover...",0
" All antidepressants have a chance that happens, I don't think Paxil is much higher.",0
Cymbalta Where are you?,0
Thank you for helping me clean and vacuum my car vyvanse 🚘✨,0
"RT  For causal implications, the VRA debate raises questions about the effect under treatment (“Prozac”) versus post-treatment effect (“Cipro”).",0
" Yes, I went out halfway through the week and forgot to put the new bottle in my organizer. metoprolol. Better now.",0
"The 100 mg tablets of trazodone that my GP prescribed are too much now that I don't take them every night. After an hour, I still wake up zombie.",1
I'm so glad I had this vyvanse! I'm going to work!,0
85mg vyvanse should help me pass 😳,0
I need a diamond,0
 could mean I'm going back up. But I have extra quetiapine I can take just in case.,0
"SCTx & P1NP to Yr 7:1 st inj denosumab after 3 years of PBO resulted in fast, good suppression. Persistently. #EULAR2013 #osteoporosis",0
" that's the problem with Zyprexa, it's for people with bipolar or schizophrenia, it's really strong when you wake up sleepy for 6 hours.",1
  #ListenersChoice #CorstensCountdown 313 Zehavi & Rand - paroxetine (Majera Remix) Hopefully not played: D,0
? From a #crohnie: Have any of you experienced weight gain on Humira? And why? Do you notice that you eat more or eat the same but only gain weight?,0
 but one day...,0
"Things I'd Give Up For A #Heat Loss Tonight: Nicotine, Bubble Gum Pop Music Secret Obsession, TMZ and The Voice. #NBAPlayoffs",0
"According to old attractive actresses, women only need to eat Activia and take boniva.",0
Late night nicotine cravings #lolwut,0
“ I want to quit smoking so badly” nicotine fairies,0
"3) Oh, Will, you poor man, they put you on Effexor. Which happens to be an antidepressant. Fact check, people. #TheNewsroom",0
" no, I was (and am) on venlafaxine. I have an unproblematic heart rhythm disorder, so I guess it's problematic then...",0
Cipro poison Big Pharma knows,0
 I had a doctor's comment saying it would be better for my seizures if I lived in a medical condition instead of in the Lamic Valley.,0
" < Seroquel - at high doses, it helps psychotics with anxiety, depression, and insomnia in low doses. I can finally sleep at 25 mg.",0
 cipro has a known warning about a weakening of the Achilles tendon...,1
